SEP=,
subtitles.anbula_berserk,[黑],[black]
item.mcanomalyarchives.chair,椅子,Chair
entity.mcanomalyarchives.sitting_enity,,Sitting Enity
item.mcanomalyarchives.computer,电脑,Computer
entity.mcanomalyarchives.svan,斯万,Svan
item.mcanomalyarchives.svan_spawn_egg,斯万刷怪蛋,Svan Spawn Egg
item.mcanomalyarchives.stripped_orange_log,去皮橘树原木,Stripped Orange Log
item.mcanomalyarchives.orange_log,橘树原木,Orange Log
item.mcanomalyarchives.orange_leaves,橘树树叶,Orange Tree Leaves
item.mcanomalyarchives.orange_sapling,橘树树苗,Orange Sapling
item.mcanomalyarchives.orange,橘子,Orange
item.mcanomalyarchives.orange_plank,橘树木板,Orange Wood
item.mcanomalyarchives.qu_spawn_egg,区刷怪蛋,Qu Spawn Egg
entity.mcanomalyarchives.qu,区,Qu
item.mcanomalyarchives.strange_fishing_rod,跨维钓竿,Strange Fishing Rod
item.mcanomalyarchives.detecter,神经监测仪,Detecter
item.mcanomalyarchives.purple_monster_spawn_egg,紫怪刷怪蛋,Purple Monster Spawn Egg
entity.mcanomalyarchives.purple_monster,紫怪,Purple Monster
entity.mcanomalyarchives.purple_dog,紫狗,Purple Dog
item.mcanomalyarchives.purplehand,紫怪触手,Purplehand
block.mcanomalyarchives.cloud_stone,云石,Cloud Stone
block.mcanomalyarchives.dead_poppy,死亡的虞美人,Dead Poppy
block.mcanomalyarchives.chair,椅子,Chair
block.mcanomalyarchives.computer,电脑,Computer
block.mcanomalyarchives.orange_log,橘树原木,Orange Log
block.mcanomalyarchives.orange_leaves,橘树树叶,Orange Tree Leaves
block.mcanomalyarchives.stripped_orange_log,去皮橘树原木,Stripped Orange Log
block.mcanomalyarchives.orange_plank,橘树原木,Orange Wood
block.mcanomalyarchives.orange_sapling,橘树树苗,Orange Sapling
advancements.shangyu.descr,使用跨维钓竿钓鱼,Fish by strange fishing rod
advancements.shangyu.title,钓鱼？,Fishing
advancements.whatthe.descr,钓出奇怪的东西,Fish something strange
advancements.whatthe.title,什么鬼,What the hell
item.mcanomalyarchives.cloud_rock,云岩,Cloud Rock
biome.mcanomalyarchives.cloudroom,云室,Cloudroom
item.mcanomalyarchives.cloud_ore,云矿,Cloud Ore
item.mcanomalyarchives.cloud_ingot,云锭,Cloud Ingot
item.mcanomalyarchives.cloud_upgrade,云锭升级,Cloud Upgrade
item.mcanomalyarchives.cloud_armor_chestplate,云锭胸甲,Cloud Chestplate
item.mcanomalyarchives.cloud_armor_helmet,云锭头盔,Cloud Helmet
item.mcanomalyarchives.cloud_armor_leggings,云锭护腿,Cloud Legging
item.mcanomalyarchives.cloud_armor_boots,云锭靴子,Cloud Boots
item.mcanomalyarchives.cloud_scrap,云锭碎片,Cloud Scrap
block.mcanomalyarchives.cloud_rock,云岩,Cloud Rock
block.mcanomalyarchives.cloud_ore,云矿,Cloud Ore
gamerule.cornPoppySad.description,虞美人将有”花之泣“效果,Corn poppy can have "Flower Tear" Effect
gamerule.cornPoppySad,花之泣,Corn poppy sad
block.mcanomalyarchives.corn_poppy,虞美人？,Corn Poppy
item.mcanomalyarchives.yifulin_spawn_egg,伊芙琳刷怪蛋,Yifulin Spawn Egg
entity.mcanomalyarchives.yifulin,伊芙琳,Yifulin
item.mcanomalyarchives.david_spawn_egg,大卫刷怪蛋,David Spawn Egg
entity.mcanomalyarchives.david,大卫,David
item.mcanomalyarchives.potter_spawn_egg,波特刷怪蛋,Potter Spawn Egg
entity.mcanomalyarchives.potter,波特,Potter
advancements.cloudarmadv.title,云雾缠身,Cloud armor on body
advancements.cloudarmadv.descr,获得全套云锭套装,get
advancements.purplehandadv.title,一只手？,A Hand?
advancements.purplehandadv.descr,获得紫怪触手,Get the purple hand
block.mcanomalyarchives.strangetreelog,怪树树干,Strangetreelog
block.mcanomalyarchives.strangetreeleaves,怪树树叶,Strangetreeleaves
item.mcanomalyarchives.strange_tree_spawn_egg,怪树刷怪蛋,Strange Tree Spawn Egg
entity.mcanomalyarchives.strange_tree,怪树,Strange Tree
death.attack.waistcut,%1$s被腰斩了,%1$s was cut in half
death.attack.waistcut.player,%1$s被%2$s腰斩了,%1$s was cut in half by %2$s
block.mcanomalyarchives.sad_poppy,悲伤的虞美人,Sad Poppy
block.mcanomalyarchives.cloud_dem_portal,云室传送门,Cloud Dem Portal
entity.mcanomalyarchives.purple_arrow,紫箭,Purple Arrow
entity.mcanomalyarchives.pink_sheep,幸运粉羊,Pink Sheep
item.mcanomalyarchives.pink_sheep_spawn_egg,幸运粉羊刷怪蛋,Pink Sheep Spawn Egg
